b,n_matter,lambda_0,xi_infinity,t_end,t_multiplier,t,lambda,xi,d_lambda_dt,d_xi_dt,reduced_beta_lambda,reduced_beta_xi,full_beta_lambda,full_beta_xi,trajectory_identity_residual,reduced_vector_residual,full_vector_residual,tensor_to_scalar_ratio,projected_response_x_r,prior_xi_only_response,two_coupling_contrast
0.3,100000,0.0004737410112522892,3.3161870787660247e-07,0.6585634064860568,1.0,0.6585634064860568,0.00039558555922108947,5.47088164218398e-08,-9.909714228704908e-05,6.936799960093435e-08,-9.909714228704909e-05,6.936799960093437e-08,-9.911494670982452e-05,6.936813665008623e-08,-1.1102230246251565e-16,1.367600516550663e-16,0.00017966631532438069,16.000000000000025,-1.000000000000003,-0.6700498788373705,-0.6700498788373704
0.3,100000,0.0004737410112522892,3.3161870787660247e-07,0.6585634064860568,2.0,1.3171268129721136,0.00033956568909182907,9.392272551232209e-08,-7.301765382541695e-05,5.111235767779187e-08,-7.301765382541697e-05,5.111235767779188e-08,-7.303077261900663e-05,5.1112559640610446e-08,0.0,1.8560614784598806e-16,0.00017966600801074692,0.7452522199081972,0.9068434725114753,-0.4335498976295912,-0.4335498976295911
0.3,100000,0.0004737410112522892,3.3161870787660247e-07,0.6585634064860568,4.0,2.6342536259442273,0.0002646189682614141,1.4638543009361257e-07,-4.434270837897417e-05,3.1039895865281916e-08,-4.434270837897417e-05,3.1039895865281916e-08,-4.435067523106829e-05,3.10401411623872e-08,-1.1102230246251565e-16,0.0,0.00017966539341558114,0.07501170353955165,0.990623537057556,-0.11714612826919546,-0.11714612826919535
0.3,100000,0.0004737410112522892,3.3161870787660247e-07,0.6585634064860568,8.0,5.268507251888455,0.0001835812566542212,2.031118282186476e-07,-2.1342090083559454e-05,1.493946305849162e-08,-2.1342090083559454e-05,1.4939463058491616e-08,-2.1345924493272026e-05,1.4939699177243156e-08,0.0,1.5503269017331298e-19,0.00017966416435313153,0.007774708181582014,0.9990281614773022,0.22497207421860455,0.2249720742186046
0.3,100000,0.0004737410112522892,3.3161870787660247e-07,0.6585634064860568,16.0,10.53701450377691,0.0001138498271794816,2.519238288509653e-07,-8.208145067196896e-06,5.745701547037827e-09,-8.208145067196897e-06,5.745701547037829e-09,-8.209619756898947e-06,5.745883163495526e-09,-1.1102230246251565e-16,2.0638844384292954e-16,0.00017966170673925453,0.0007096567861355186,0.9999112929017331,0.5193583646958051,0.5193583646958052
0.3,1000000,4.7374101125228916e-05,3.316187078766024e-09,0.6585634064860568,1.0,0.6585634064860568,3.955855592210894e-05,5.47088164218398e-10,-9.909714228704907e-06,6.936799960093435e-10,-9.909714228704906e-06,6.936799960093435e-10,-9.90989227320676e-06,6.936801330589691e-10,-1.1102230246251565e-16,1.7095002451746132e-16,1.7966663549260067e-05,16.000000000000025,-1.000000000000003,-0.6700498788373705,-0.6700498788373704
0.3,1000000,4.7374101125228916e-05,3.316187078766024e-09,0.6585634064860568,2.0,1.3171268129721136,3.3956568909182904e-05,9.392272551232207e-10,-7.3017653825416955e-06,5.111235767779187e-10,-7.3017653825416955e-06,5.111235767779186e-10,-7.301896570881521e-06,5.111237787421338e-10,0.0,1.4160627040006646e-20,1.7966660476118472e-05,0.7452522199081972,0.9068434725114753,-0.4335498976295912,-0.4335498976295911
0.3,1000000,4.7374101125228916e-05,3.316187078766024e-09,0.6585634064860568,4.0,2.6342536259442273,2.6461896826141405e-05,1.4638543009361257e-09,-4.434270837897416e-06,3.1039895865281917e-10,-4.434270837897417e-06,3.1039895865281917e-10,-4.434350506908959e-06,3.1039920395331694e-10,0.0,1.9101966842889203e-16,1.7966654329472038e-05,0.07501170353955165,0.990623537057556,-0.11714612826919535,-0.1171461282691953
0.3,1000000,4.7374101125228916e-05,3.316187078766024e-09,0.6585634064860568,8.0,5.268507251888455,1.835812566542212e-05,2.031118282186476e-09,-2.134209008355945e-06,1.493946305849162e-10,-2.1342090083559456e-06,1.493946305849162e-10,-2.1342473529253234e-06,1.4939486671019889e-10,0.0,1.9844189155390371e-16,1.7966642036896115e-05,0.007774708181582014,0.9990281614773022,0.22497207421860455,0.22497207421860455
0.3,1000000,4.7374101125228916e-05,3.316187078766024e-09,0.6585634064860568,16.0,10.53701450377691,1.1384982717948158e-05,2.5192382885096527e-09,-8.208145067196895e-07,5.745701547037827e-11,-8.208145067196895e-07,5.7457015470378275e-11,-8.208292539799652e-07,5.745719709688349e-11,-1.1102230246251565e-16,7.87309247927886e-21,1.796661745124145e-05,0.0007096567861355186,0.9999112929017331,0.5193583646958051,0.5193583646958052
1.0,100000,0.0015791367041742973,1.1053956929220081e-06,0.5191541270067117,1.0,0.5191541270067117,0.0010394841945930615,3.7775675670686504e-07,-0.0006842519637169567,4.789763746018698e-07,-0.0006842519637169567,4.789763746018697e-07,-0.0006843749004338544,4.789788612023841e-07,0.0,1.5473699467556124e-19,0.00017966581511225126,16.000000000000025,-1.000000000000003,-0.31652211217088955,-0.3165221121708895
1.0,100000,0.0015791367041742973,1.1053956929220081e-06,0.5191541270067117,2.0,1.0383082540134234,0.0007747290926507222,5.630853280665026e-07,-0.000380084362178921,2.6605905352524475e-07,-0.000380084362178921,2.6605905352524475e-07,-0.0003801526500554341,2.6606181598258475e-07,0.0,0.0,0.00017966500764978247,0.5103230669139154,0.9362096166357605,0.01879414163093074,0.01879414163093074
1.0,100000,0.0015791367041742973,1.1053956929220081e-06,0.5191541270067117,4.0,2.076616508026847,0.0005132705685139351,7.461062949622536e-07,-0.00016682955681178327,1.1678068976824828e-07,-0.00016682955681178327,1.1678068976824828e-07,-0.00016685952998324888,1.1678311475740845e-07,0.0,0.0,0.0001796633929447971,0.038447013913413715,0.9951941232608232,0.34993523086740597,0.3499352308674059
1.0,100000,0.0015791367041742973,1.1053956929220081e-06,0.5191541270067117,8.0,4.153233016053694,0.00030643611481469317,8.90890412551723e-07,-5.9464827974994154e-05,4.162537958249591e-08,-5.9464827974994154e-05,4.1625379582495904e-08,-5.947551143824277e-05,4.162710824189063e-08,0.0,1.112833166175735e-19,0.00017966016441713922,0.0030516804247166466,0.9996185399469104,0.6118941267026998,0.6118941267026997
1.0,100000,0.0015791367041742973,1.1053956929220081e-06,0.5191541270067117,16.0,8.306466032107387,0.00016968167064987526,9.866185234670954e-07,-1.823266426423006e-05,1.2762864984961042e-08,-1.8232664264230055e-05,1.2762864984961039e-08,-1.823593983065552e-05,1.2763924956777138e-08,0.0,3.7165510357901105e-16,0.0001796537108882505,0.0002260335069463049,0.9999717458116317,0.7850956535918163,0.7850956535918163
1.0,1000000,0.00015791367041742972,1.105395692922008e-08,0.5191541270067117,1.0,0.5191541270067117,0.00010394841945930614,3.777567567068649e-09,-6.842519637169567e-05,4.789763746018696e-09,-6.842519637169565e-05,4.7897637460186955e-09,-6.842642574383789e-05,4.789766232641802e-09,-2.220446049250313e-16,3.9612680263441827e-16,1.7966658546734086e-05,16.000000000000025,-1.000000000000003,-0.31652211217088977,-0.3165221121708896
1.0,1000000,0.00015791367041742972,1.105395692922008e-08,0.5191541270067117,2.0,1.0383082540134234,7.747290926507222e-05,5.630853280665024e-09,-3.80084362178921e-05,2.6605905352524466e-09,-3.80084362178921e-05,2.6605905352524466e-09,-3.800911910218226e-05,2.660593297759983e-09,0.0,0.0,1.7966650471375667e-05,0.5103230669139154,0.9362096166357605,0.018794141630930516,0.018794141630930572
1.0,1000000,0.00015791367041742972,1.105395692922008e-08,0.5191541270067117,4.0,2.076616508026847,5.1327056851393505e-05,7.461062949622533e-09,-1.6682955681178326e-05,1.1678068976824825e-09,-1.6682955681178326e-05,1.1678068976824829e-09,-1.6683255417743155e-05,1.1678093227597725e-09,0.0,2.479118887367358e-20,1.7966634320250535e-05,0.038447013913413715,0.9951941232608232,0.34993523086740574,0.3499352308674058
1.0,1000000,0.00015791367041742972,1.105395692922008e-08,0.5191541270067117,8.0,4.153233016053694,3.064361148146932e-05,8.908904125517228e-09,-5.946482797499415e-06,4.16253795824959e-10,-5.946482797499415e-06,4.1625379582495905e-10,-5.946589635589499e-06,4.1625552461000563e-10,0.0,8.694011219479575e-21,1.7966602019176887e-05,0.0030516804247166466,0.9996185399469104,0.6118941267026996,0.6118941267026996
1.0,1000000,0.00015791367041742972,1.105395692922008e-08,0.5191541270067117,16.0,8.306466032107387,1.6968167064987526e-05,9.866185234670951e-09,-1.8232664264230059e-06,1.2762864984961038e-10,-1.8232664264230057e-06,1.2762864984961038e-10,-1.8232991842075463e-06,1.2762970997553223e-10,-1.1102230246251565e-16,1.1614223419350045e-16,1.796653742022654e-05,0.0002260335069463049,0.9999717458116317,0.7850956535918161,0.7850956535918162
